Halma;https://f-droid.org/en/packages/app.halma/;https://f-droid.org/repo/app.halma_13.apk;This version requires Android 4.0 or newer.;https://github.com/Crazy-Marvin/Halma;https://github.com/Crazy-Marvin/Halma/issues;13.0;
Currencies: Exchange Rate Calculator;https://f-droid.org/en/packages/de.salomax.currencies/;https://f-droid.org/repo/de.salomax.currencies_12203.apk;This version requires Android 8.0 or newer.;https://github.com/sal0max/currencies;https://github.com/sal0max/currencies/issues;1.22.3;have full network access <-> de.salomax.currencies.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
GreenStash: Track Your Savings;https://f-droid.org/en/packages/com.starry.greenstash/;https://f-droid.org/repo/com.starry.greenstash_391.apk;This version requires Android 7.0 or newer.;https://github.com/Pool-Of-Tears/GreenStash;https://github.com/Pool-Of-Tears/GreenStash/issues;3.9.1;show notifications <-> run at startup <-> use biometric hardware <-> use fingerprint hardware <-> com.starry.greenstash.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
My Expenses;https://f-droid.org/en/packages/org.totschnig.myexpenses/;https://f-droid.org/repo/org.totschnig.myexpenses_757.apk;This version requires Android 5.0 or newer.;https://github.com/mtotschnig/MyExpenses;https://github.com/mtotschnig/MyExpenses/issues;3.8.8;view network connections <-> view Wi-Fi connections <-> android.permission.AUTHENTICATE_ACCOUNTS <-> run foreground service <-> run foreground service with the type "specialUse" <-> find accounts on the device <-> have full network access <-> android.permission.MANAGE_ACCOUNTS <-> control Near Field Communication <-> show notifications <-> Read calendar events and details <-> read the contents of your shared storage <-> read sync settings <-> read sync statistics <-> run at startup <-> android.permission.USE_CREDENTIALS <-> prevent phone from sleeping <-> add or modify calendar events and send email to guests without owners' knowledge <-> modify or delete the contents of your shared storage <-> toggle sync on and off <-> install shortcuts <-> org.totschnig.myexpenses.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
RiMusic;https://f-droid.org/en/packages/it.fast4x.rimusic/;https://f-droid.org/repo/it.fast4x.rimusic_56.apk;This version requires Android 5.0 or newer.;https://github.com/fast4x/RiMusic;https://github.com/fast4x/RiMusic/issues;56;view network connections <-> run foreground service <-> run foreground service with the type "dataSync" <-> run foreground service with the type "mediaPlayback" <-> have full network access <-> change your audio settings <-> show notifications <-> read the contents of your shared storage <-> read audio files from shared storage <-> run at startup <-> record audio <-> ask to ignore battery optimizations <-> prevent phone from sleeping <-> modify or delete the contents of your shared storage <-> it.fast4x.rimusic.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
AntennaPod;https://f-droid.org/en/packages/de.danoeh.antennapod/;https://f-droid.org/repo/de.danoeh.antennapod_3050095.apk;This version requires Android 5.0 or newer.;https://github.com/AntennaPod/AntennaPod;https://github.com/AntennaPod/AntennaPod/issues;3.5.0;view network connections <-> view Wi-Fi connections <-> pair with Bluetooth devices <-> run foreground service <-> run foreground service with the type "mediaPlayback" <-> have full network access <-> show notifications <-> read the contents of your shared storage <-> run at startup <-> control vibration <-> prevent phone from sleeping <-> modify or delete the contents of your shared storage <-> de.danoeh.antennapod.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Trekarta - offline outdoor map;https://f-droid.org/en/packages/mobi.maptrek/;https://f-droid.org/repo/mobi.maptrek_107.apk;This version requires Android 6.0 or newer.;https://github.com/andreynovikov/trekarta;https://github.com/andreynovikov/trekarta/issues;2024.03.22;access approximate location only in the foreground <-> access precise location only in the foreground <-> view network connections <-> run foreground service <-> run foreground service with the type "location" <-> have full network access <-> show notifications <-> run at startup <-> prevent phone from sleeping <-> mobi.maptrek.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
KeyPass;https://f-droid.org/en/packages/com.yogeshpaliyal.keypass/;https://f-droid.org/repo/com.yogeshpaliyal.keypass_1430.apk;This version requires Android 6.0 or newer.;https://github.com/yogeshpaliyal/KeyPass;https://github.com/yogeshpaliyal/KeyPass/issues;1.4.30;take pictures and videos <-> run foreground service <-> run at startup <-> reorder running apps <-> use biometric hardware <-> use fingerprint hardware <-> prevent phone from sleeping <-> com.yogeshpaliyal.keypass.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Discreet Launcher;https://f-droid.org/en/packages/com.vincent_falzon.discreetlauncher/;https://f-droid.org/repo/com.vincent_falzon.discreetlauncher_65.apk;This version requires Android 5.0 or newer.;https://github.com/falzonv/discreet-launcher;https://github.com/falzonv/discreet-launcher/issues;v7.6.0;show notifications <-> query all packages <-> com.vincent_falzon.discreetlauncher.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
QRAlarm;https://f-droid.org/en/packages/com.sweak.qralarm/;https://f-droid.org/repo/com.sweak.qralarm_28.apk;This version requires Android 5.0 or newer.;https://github.com/sweakpl/qralarm-android;https://github.com/sweakpl/qralarm-android/issues;1.7.1;android.permission.BROADCAST_CLOSE_SYSTEM_DIALOGS <-> take pictures and videos <-> run foreground service <-> run foreground service with the type "mediaPlayback" <-> show notifications <-> run at startup <-> Schedule precisely timed actions <-> Schedule alarms or event reminders <-> display notifications as full screen activities on a locked device <-> control vibration <-> com.sweak.qralarm.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
